DatasetIdentifier,Publisher,SourceRepository,YearPublished
snd2002-1,Uppsala University,DORIS,2012
snd2001-1,Uppsala University,DORIS,2012
2021-131-1,Chalmers University of Technology,DORIS,2021
ecds0159-1,Uppsala University,DORIS,2017
ext0271-1,University of Gothenburg,DORIS (only metadata),2017
ecds0146-1,SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2021
snd0848-1,Arbetslivsinstitutet,DORIS,2006
snd0234-1,University of Gothenburg,DORIS,2009
2025-15,Mid Sweden University,DORIS,2025
2024-293,Uppsala University,DORIS,2020
2024-318,Uppsala University,DORIS,2020
2024-350,Uppsala University,DORIS,2022
2024-344,Royal Institute of Technology,DORIS,2021
2024-342,Uppsala University,DORIS,2021
2024-188,Uppsala University,DORIS,2016
2024-190,Uppsala University,DORIS,2017
2022-112-1,University of Gothenburg,DORIS,2024
2024-204,Uppsala University,DORIS,2017
2024-177,Lund University,DORIS,2024
2024-206,Uppsala University,DORIS,2017
2024-179,Swedish University of Agricultural Sciences,DORIS,2024
2024-209,Uppsala University,DORIS,2017
2024-332,Royal Institute of Technology,DORIS,2021
2024-215,Uppsala University,DORIS,2018
snd2257-1,Uppsala University,DORIS,2012
snd2258-1,Uppsala University,DORIS,2012
snd2258-1,Uppsala University,DORIS,2014
snd2259-1,Uppsala University,DORIS,2014
snd2260-1,Uppsala University,DORIS,2012
snd2260-1,Uppsala University,DORIS,2014
snd2261-1,Uppsala University,DORIS,2012
snd2261-1,Uppsala University,DORIS,2014
snd2262-1,Uppsala University,DORIS,2012
snd2262-1,Uppsala University,DORIS,2014
snd2263-1,Uppsala University,DORIS,2012
snd2263-1,Uppsala University,DORIS,2014
snd2264-1,Uppsala University,DORIS,2012
snd2264-1,Uppsala University,DORIS,2014
snd2265-1,Uppsala University,DORIS,2012
snd2265-1,Uppsala University,DORIS,2014
snd2266-1,Uppsala University,DORIS,2012
snd2266-1,Uppsala University,DORIS,2014
snd2267-1,Uppsala University,DORIS,2012
snd2268-1,Uppsala University,DORIS,2012
snd2268-1,Uppsala University,DORIS,2014
snd2269-1,Uppsala University,DORIS,2012
snd2269-1,Uppsala University,DORIS,2014
snd2270-1,Uppsala University,DORIS,2012
snd2270-1,Uppsala University,DORIS,2014
snd2271-1,Uppsala University,DORIS,2012
snd2271-1,Uppsala University,DORIS,2014
snd2272-1,Uppsala University,DORIS,2012
snd2272-1,Uppsala University,DORIS,2014
snd2301-1,Uppsala University,DORIS,2012
snd2301-1,Uppsala University,DORIS,2014
snd2273-1,Uppsala University,DORIS,2014
snd2319-1,Uppsala University,DORIS,2012
snd2320-1,Uppsala University,DORIS,2013
snd2322-1,Uppsala University,DORIS,2013
snd2323-1,Uppsala University,DORIS,2012
snd2324-1,Uppsala University,DORIS,2012
snd2326-1,Uppsala University,DORIS,2012
snd2327-1,Uppsala University,DORIS,2012
snd2328-1,Uppsala University,DORIS,2012
snd2329-1,Uppsala University,DORIS,2012
snd2331-1,Uppsala University,DORIS,2012
snd2332-1,Uppsala University,DORIS,2013
snd2333-1,Uppsala University,DORIS,2012
snd2334-1,Uppsala University,DORIS,2012
snd2337-1,Uppsala University,DORIS,2012
snd2338-1,Uppsala University,DORIS,2012
snd2339-1,Uppsala University,DORIS,2012
snd0629-1,University of Gothenburg,DORIS,1998
snd0598-1,University of Gothenburg,DORIS,1998
snd0583-1,University of Tampere,DORIS,1997
snd0514-1,University of Gothenburg,DORIS,1996
snd0513-1,University of Gothenburg,DORIS,1996
2022-47-1,Lund University,DORIS,2022
2022-52-1,Linnaeus University,DORIS,2022
2021-306-1,Kristianstad University,DORIS,2021
2020-36-11,University of Gothenburg,DORIS,2020
2021-315-1,Lund University,DORIS,2022
snd2004-1,Uppsala University,DORIS,2012
snd2016-1,Uppsala University,DORIS,2012
snd2253-1,Uppsala University,DORIS,2012
snd2252-1,Uppsala University,DORIS,2012
snd0829-1,Lund University,DORIS,2006
snd0745-1,University of Gothenburg,DORIS,2001
snd0090-1,Stockholm University,DORIS,1982
2024-366,Uppsala University,DORIS,2022
2024-376,Uppsala University,DORIS,2022
2024-140,Swedish University of Agricultural Sciences,DORIS,2025
2024-382,Uppsala University,DORIS,2022
snd2113-1,Uppsala University,DORIS,2014
snd2114-1,Uppsala University,DORIS,2012
snd2114-1,Uppsala University,DORIS,2014
snd2115-1,Uppsala University,DORIS,2012
snd2115-1,Uppsala University,DORIS,2014
snd2117-1,Uppsala University,DORIS,2012
snd2117-1,Uppsala University,DORIS,2014
snd2118-1,Uppsala University,DORIS,2012
snd2118-1,Uppsala University,DORIS,2014
snd2119-1,Uppsala University,DORIS,2012
snd2119-1,Uppsala University,DORIS,2014
snd2120-1,Uppsala University,DORIS,2012
snd2121-1,Uppsala University,DORIS,2012
snd2121-1,Uppsala University,DORIS,2014
snd2122-1,Uppsala University,DORIS,2012
snd2122-1,Uppsala University,DORIS,2014
snd2123-1,Uppsala University,DORIS,2012
snd2123-1,Uppsala University,DORIS,2014
snd2124-1,Uppsala University,DORIS,2012
snd2124-1,Uppsala University,DORIS,2014
snd2125-1,Uppsala University,DORIS,2012
snd2125-1,Uppsala University,DORIS,2014
snd2127-1,Uppsala University,DORIS,2012
snd2127-1,Uppsala University,DORIS,2014
snd2128-1,Uppsala University,DORIS,2012
snd2128-1,Uppsala University,DORIS,2014
snd2129-1,Uppsala University,DORIS,2012
snd2129-1,Uppsala University,DORIS,2014
snd2131-1,Uppsala University,DORIS,2012
snd2131-1,Uppsala University,DORIS,2014
snd2132-1,Uppsala University,DORIS,2012
snd2132-1,Uppsala University,DORIS,2014
snd2133-1,Uppsala University,DORIS,2012
snd2133-1,Uppsala University,DORIS,2014
snd2134-1,Uppsala University,DORIS,2012
snd2134-1,Uppsala University,DORIS,2014
snd2135-1,Uppsala University,DORIS,2012
snd2135-1,Uppsala University,DORIS,2014
snd2136-1,Uppsala University,DORIS,2012
snd2136-1,Uppsala University,DORIS,2014
snd2137-1,Uppsala University,DORIS,2012
snd2137-1,Uppsala University,DORIS,2014
snd2138-1,Uppsala University,DORIS,2012
snd2138-1,Uppsala University,DORIS,2014
snd2139-1,Uppsala University,DORIS,2012
snd2139-1,Uppsala University,DORIS,2014
snd2219-1,Uppsala University,DORIS,2012
snd2219-1,Uppsala University,DORIS,2014
snd2218-1,Uppsala University,DORIS,2012
snd2218-1,Uppsala University,DORIS,2014
snd2217-1,Uppsala University,DORIS,2012
snd2217-1,Uppsala University,DORIS,2014
snd2216-1,Uppsala University,DORIS,2012
snd0918-1,"Information not available, contact SND for more information",DORIS,2013
snd0918-1,"Information not available, contact SND for more information",DORIS,2013
snd0918-1,"Information not available, contact SND for more information",DORIS,2013
snd2215-1,Uppsala University,DORIS,2014
snd2214-1,Uppsala University,DORIS,2012
snd2214-1,Uppsala University,DORIS,2014
snd2361-1,Uppsala University,DORIS,2018
snd2213-1,Uppsala University,DORIS,2012
snd2361-1,Uppsala University,DORIS,2013
snd2325-1,Uppsala University,DORIS,2012
snd2213-1,Uppsala University,DORIS,2014
snd2330-1,Uppsala University,DORIS,2012
snd2212-1,Uppsala University,DORIS,2012
snd2336-1,Societas Archaeologica Upsaliensis,DORIS,2012
snd2344-1,Uppsala University,DORIS,2012
snd2212-1,Uppsala University,DORIS,2014
snd2211-1,Uppsala University,DORIS,2012
snd2359-1,Uppsala University,DORIS,2012
snd2358-1,Uppsala University,DORIS,2012
snd2211-1,Uppsala University,DORIS,2014
snd2357-1,Uppsala University,DORIS,2012
snd0471-1,University of Gothenburg,DORIS,1994
snd0487-1,University of Gothenburg,DORIS,1995
snd0486-1,University of Gothenburg,DORIS,1995
snd0482-1,Stockholm University,DORIS,1995
snd0482-2,Stockholm University,DORIS,1995
